서비스명,지원내용,신청기한,문의처,신청방법,접수기관명,지원유형,지원대상,선정기준,URL,구비서류,tags
청년 문화예술패스 지원,"ㅇ 청년의 공연·전시 관람료 지원
- 공연(연극, 뮤지컬, 클래식, 오페라, 발레, 무용, 합창, 국악, 음악 콘서트·페스티벌 등), 전시",상시신청,청년 문화예술패스 고객센터/1577-1968,ㅇ온라인신청: 청년문화예술패스 사이트 접속 > 회원가입 > 신청하기,,이용권,19세 청년('25년 기준 2006년생),19세 청년('25년 기준 2006년생),https://youthculturepass.or.kr,신분증,"['청년', '문화예술', '지원', '공연전시', '지원대상', '2006년생', '관람료']"
국립청소년인터넷드림마을 운영 지원,"○ 운영 규모 : 1, 2, 3, 4주 과정 총 22회
-심층 프로그램
· 3주 및 4주 과정 : 인터넷 , 스마트폰 과의존 고위험군 청소년 대상
-일반 프로그램
· 1주 및 2주 과정 : 인터넷,스마트폰 과의존 위험군 및 사이버도박 문제 청소년 대상
○ 주요 프로그램
-전문가들의 정확한 과의존 정도 진단 및 평가
-개별적 원인에 따른 맞춤형 개인상담
-또래와 함께하는 집단상담
-가족의 환경에 맞도록 구성된 부모교육 및 가족 상담
-인터넷을 대체할 대안놀이 체험 및 수련활동
-자율성, 성취감, 자존감을 높이는 자치활동 등
-지역 청소년동반자를 통한 사후 상담",접수기관 별 상이,국립청소년인터넷드림마을 사업관리부/063-323-2646,"ㅇ 전화문의 : 063-323-2646, 2285(드림마을) 또는 국번없이 1388(청소년전화)
ㅇ 홈페이지 : https://nyit.or.kr",국립청소년인터넷드림마을 사업관리부 ,기타(교육)||기타(상담),○ 인터넷·스마트폰 과의존 및 사이버도박 문제 청소년(중·고등학생),"○ 서류심사 및 심층 면접, 입·퇴교 판정위원회 심사를 통해 최종 선정",https://nyit.or.kr,해당없음,"['청소년', '인터넷 중독', '상담 프로그램', '부모교육', '사후 상담']"
결혼이민예정자 현지사전교육 지원,○ 한국 입국 전 결혼이민예정자에게 한국생활에 필요한 정보를 사전 제공,접수기관 별 상이,여성가족부 청소년가족정책실 다문화가족과/02-2100-6379,"내방(베트남, 필리핀, 태국 현지), 전화, 이메일",여성가족부,기타||기타(교육)||기타(상담),○ 결혼이민예정자,○ 혼인신고자 또는 비자발급신청자,,해당없음,"['신혼부부', '이민', '교육', '결혼이민', '한국생활', '사전교육']"
한국청소년상담복지개발원 운영 지원,"○ 청소년 상담복지사업 운영 총괄, 지원, 청소년정책 연구 및 프로그램 개발, 청소년상담사, 또래상담지도사, 미디어중독 예방 상담복지 전문 인력 양성 등",접수기관 별 상이,한국청소년상담복지개발원/051-662-3000,○ 온라인 : 한국청소년상담복지개발원 홈페이지 참조,,기타(상담),"○ 만 9~24세 청소년, 청소년 상담 관련 자격증 취득자 및 예정자, 지도자 등",지원대상과 동일,http://www.kyci.or.kr,해당없음,"['청소년', '상담', '지원', '프로그램', '미디어중독', '자격증', '지도자']"
가정폭력피해자 국민임대주택 우선 입주권 부여,"○ 가정폭력방지 및 피해자보호등에 관한 법률 제8조의5(임대주택의 우선 입주권 부여)
- 같은 법 시행령 제4조의2(임대주택의 우선입주권 부여 대상자)에 가정폭력피해자가 폭력으로부터 벗어나기 위해 주거문제로 곤란을 겪지 않도록 가정폭력피해자 임대주택 우선입주권 혜택을 부여하고 있고, 국토교통부 소관 ""공공주택특별법 시행규칙"" 별표4에 가정폭력피해자에게 국민임대주택 우선입주권 혜택 부여",접수기관 별 상이,여성긴급전화/1366||LH/1600-1004,방문 등,,기타||현물,"○ 「가정폭력방지 및 피해자보호 등에 관한 법률」 제2조제3호에 따른 피해자로서 일반공급의 입주자격을 충족하는 사람으로서, (｢공공주택특별법 시행규칙｣ 별표4)
○ 가정폭력방지 및 피해자 보호 등에 관한 법률 시행령 제4조의2에 정한 어느 하나에 해당하는 가정폭력피해자
① 가정폭력피해자 보호시설에 6개월 이상 입소한 피해자 단, 피해자가 퇴소했을 경우 그 퇴소일로부터 2년이 지나지 아니한 사람(법 제7조의4제3호에 따라 퇴소한 사람은 제외)
② 여성가족부장관이 지원하는 피해자를 위한 주거 지원시설에 2년 이상 입주한 피해자 단, 피해자가 퇴거했을 경우 그 퇴거 일로부터 2년이 지나지 아니한 사람(거짓이나 그 밖의 부정한 방법으로 입주하여 퇴거하게 된 사람은 제외)
※ 가정폭력피해자 본인이 무주택 세대주이면서 위 소득 기준에 부합해야 함",지원대상과 동일,,"○ 국민임대주택 입주 신청에 필요한 증거서류(택일)
- 가정폭력피해자 보호시설에 6개월 이상 입소 확인서
- 여성가족부의. 폭력피해여성 주거 지원사업.'의 주거 지원시설에 2년 이상 입주 사실 확인서","['가정폭력피해자', '국민임대주택', '우선입주권', '피해자보호', '임대주택', '주거안정', '저소득층']"
한부모가족 임대주택 특별공급,○ 한부모가족 임대주택 특별공급,LH공사 서비스담당자 확인필요,LH마이홈/1600-1004,"1 물량파악
○ 한국토지주택공사, 민간 주택사업자의 공급물량 파악
2. 확보
○ 한국토지주택공사 공급분
- 시･도지사가 한국토지주택공사 지역본부장･지사장과 협의하여 확정
○ 민간주택사업자 등 공급분
- 시･도지사가 국민주택 등에 해당하는 주택의 공급계획을 수립하거나 민간업체의 국민주택 등 공급계획에 대하여 승인할 때 협의･확정
3. 신청접수
○ 읍･면･동장은 임대주택의 공급 계획 등을 공고하고 한부모가족의 임대주택 특별공급 신청서를 접수한다.
- 접수일자, 선정 기준 등은 임대주택 공급일정 등을 고려하여 시･도지사가 정한다.",LH공사,기타,"○ 입주대상 : 한부모가족지원법상 지원 대상 한부모가족
- 입주자모집공고일 기준 무주택세대구성원(세대주 및 세대주와 동일 주민등록표등본에 등재되어 있는 직계존･비속인 세대원)
○ 분양대상 : 한국토지주택공사 및 민간 주택사업자 등의 임대주택
- 한국토지주택공사: 각 지역본부와 협의하여 공급 물량 파악
- 민간 주택사업자 등: 사업계획 수립 및 승인 단계에서 공급 물량 파악","○ 입주대상 : 한부모가족지원법상 지원 대상 한부모가족
- 입주자모집공고일 기준 무주택세대구성원(세대주 및 세대주와 동일 주민등록표등본에 등재되어 있는 직계존･비속인 세대원)
○ 시.도지사가 지원 우선순위를 정하여 특별공급대상 한부모 선정
- 선정 기준은‘특별공급 배점기준표’를 참고하여 지역 사정에 따라 수정 가능",,"- 특별공급 주택 신청서, 개인정보 수집･이용 동의서
- 한부모가족 증명서, 장애인 증명서(해당자) 등","['한부모가족', '임대주택', '지원대상', '분양대상', '한국토지주택공사', '민간 주택사업자', '특별공급']"
폭력 피해 이주여성 보호시설 운영 지원,"○ 폭력 피해 이주여성 쉼터 28개소 운영
- 숙식의 제공
- 심리적 안정과 사회 적응을 위한 상담 및 치료
- 질병 치료와 건강관리(입소 후 1개월 이내의 건강검진을 포함한다)를 위한 의료기관에의 인도 등 의료지원
- 수사기관의 조사와 법원의 증인신문(證人訊問)에의 동행
- 법률구조기관 등에 필요한 협조와 지원의 요청
- 자립자활교육의 실시와 취업 정보의 제공 등
○ 그룹 홈 4개소 운영
- 폭력 피해 이주여성과 동반 아동의 주거 지원
○ 자활 지원센터 1개소 운영
- 폭력 피해 이주여성의 직업훈련 등 자립 지원",접수기관 별 상이,여성가족부 권익증진국 권익구조과/02-2100-6455,"상담소, 1366센터 연계",여성가족부,기타,○ 가정폭력·성폭력·성매매 등 폭력 피해 이주여성 및 동반 아동,지원대상과 동일,,해당없음,"['폭력 피해 이주여성', '쉼터 운영', '상담 및 치료', '의료지원', '자립자활교육', '주거 지원', '직업훈련']"
다문화가족 이중언어 교육지원,"○ 이중언어 부모코칭
- 이주부모 및 한국인 배우자 대상 이중언어 사용의 중요성 및 인식개선 교육
- 아동의 발달 및 부모의 역할과 올바른 의사소통기술 등 가족의 역할 교육
○ 이중언어 학습지원
- 다문화가족 자녀 대상 결혼이민자 부모의 모국어 학습 직접교육",접수기관 별 상이,다누리콜센터/1577-1366,"다문화가족지원센터를 방문하여 신청
문의처 : 다누리콜센터(1577-1366)",전국다문화가족지원센터,기타||기타(교육)||기타(상담),"○ 18세 이하 자녀를 둔 다문화가족
※ 예비부모 및 중도입국자녀를 둔 다문화가족 포함
※ 대기자가 많은 경우 영유아 자녀 우선 지원",지원대상과 동일,,"○ 공통
- 다문화 가족지원센터 서비스 개인 정보 수집ㆍ이용 동의서
- 다문화 가족지원센터 서비스 개인 정보 제3자 제공 동의서
- 회원 등록 신청서
- 프로그램 신청서
○ 2개 중 택 1
- 주민등록등본(결혼이민자가 또는 귀화자가 등본 상 기재)
- 가족관계증명서와 외국인 등록증 사본 또는 가족관계증명서와 여권사본","['다문화가족', '이중언어', '부모코칭', '영유아', '교육지원', '결혼이민자', '모국어']"
북한이탈여성 폭력피해 예방 및 지원,"○ 북한 이탈 여성 상담 서비스 및 심리치유 프로그램 운영
- 북한 이탈 여성이 많은 지역의 가정폭력, 성폭력 상담소, 건강가정 센터 등을 전담센터로 지정
- 탈북 이후 트라우마를 경험한 여성들에게 전문상담원 및 동료상담원을 통한 상담 서비스 및 심리치유 프로그램 지원
※ 북한 이탈 여성 상담 및 심리치유센터 지정현황
- 서울 : (사)여성 인권을 지원하는 사람들, (사)새롭고하나된조국을위한모임
- 경기 : 경기도 건강가정지원센터(경기도여성비전센터), 의정부시 건강가정지원센터
- 인천 : (사)햇살맑은심리상담센터 인하심리치료연구소
- 부산 : 여성문화인권센터 부설 가정폭력상담소
- 충남 : 아산시건강가정지원센터
- 대구 : 영남가정폭력상담소
- 광주 : 송광한가족상담센터
- 경남 : 마산가정상담센터",접수기관 별 상이,여성가족부 권익증진국 가정폭력스토킹방지과/02-2100-6447,방문,여성가족부,기타(교육)||기타(상담),○ 북한이탈여성,지원대상과 동일,,해당없음,"['북한이탈여성', '상담서비스', '심리치유프로그램', '가정폭력', '성폭력', '전문상담원', '트라우마']"
찾아가는 폭력예방교육 서비스 제공,교육 기회 또는 접근성 부족한 일반국민에게 '찾아가는 폭력예방교육'을 지원,상시신청,여성가족부 폭력예방교육과/02-2100-6434,"○ 희망 교육일 14일 전까지 전화 또는 온라인 신청
- 전화 : 1661-6005
- 온라인 : https://shp.mogef.go.kr","찾아가는 폭력예방교육 지원기관(중앙 1개소, 지역 18개소)",기타(교육),폭력예방교육 기회 및 접근성이 부족한 일반국민,"노인, 장애인, 이주민, 학부모, 농산어촌·도서·벽지·접적 지역 거주 주민 등",,교육 신청서(전화 또는 온라인 신청 시 작성),"['폭력예방교육', '일반국민', '교육기회', '접근성', '찾아가는서비스']"
청소년 상담 서비스 제공,"○ 위기 청소년에 대한 상담, 긴급 구조, 학업지원, 자할지원 등의 서비스 제공",접수기관 별 상이,전국 청소년상담복지센터/1388,"방문(청소년상담복지센터), 1388전화, 사이버상담 등",청소년상담복지센터,기타(상담),○ 9세~24세 (위기)청소년,지원대상과 동일,https://www.1388.go.kr,해당없음,"['청소년', '위기', '상담', '긴급 구조', '학업지원']"
학교 밖 청소년 건강검진 지원,○ 학교 밖 청소년을 대상으로 건강검진 실시 및 검진 후 질환 의심 청소년에 대한 확진 검사 비용 지원 등,상시신청,전국 학교밖청소년지원센터/1388,"○ 신청방법 : 학교 밖 청소년지원센터를 직접 방문하거나 건강검진 신청서와 구비서류를 우편 또는 전자메일로 제출
- 건강검진 신청서는 꿈드림 홈페이지(www.kdream.or.kr)에서 다운로드 가능
○ 검진대상자 확인 및 통보
- (확인) 국민건강보험공단에서 학교 밖 청소년 건강검진 대상 여부 확인
- (통보) 국민건강보험공단에서 신청자에게 개별 통보
* 건강검진 신청서를 제출한 학교 밖 청소년지원센터를 통해 대상자 확인 가능
○ 신청기간 및 검진기간 : 연중
○ 검진비용 : 본인 부담 없음(무료)
○ 검진항목 : 문진 및 진찰, 신체계측, 혈액검사, 간염 검사(B형 및 C형), 구강검사 등
○ 검진기관 : 국민건강보험공단 누리집(www.nhis.or.kr) > 건강iN에서 확인
[확진 지원]
○ 질환(고혈압 등 6개 항목)이 의심되는 경우 확진검사 지원",학교밖청소년지원센터,서비스(의료),○ 9세 이상 18세 이하 학교 밖 청소년,"○ 9세 이상 18세 이하 학교 밖 청소년이면 누구나
- 19세 학교 밖 청소년도 가능하나, 다른 국가건강검진과 중복 지원 불가
- 학교 밖 청소년 건강검진을 받고 검진주기 3년이 경과한 학교 밖 청소년",,"- 건강검진 신청서
- 본인임을 증빙할 수 있는 서류 1부 (청소년증, 여권, 주민등록증, 주민등록초본 중 1가지)
- 학교 밖 청소년임을 증명할 수 있는 서류 1부
- 개인정보 수집이용 동의서 1부","['청소년', '건강검진', '지원대상', '질환의심', '검사비용', '학교밖', '확진검사']"
